Origen,Página,Tema,Propuesta,,,,,,Persona
Discurso,,Adultos_Mayores,Instrumentaremos la entrega gratuita de tablets a los jubilados. En primer lugar los jubilados que actualmente cobran menos de $24.416 mensuales y en años sucesivos seguiremos instrumentando este plan según franja de ingreso mensual. Se encomendará al Plan Ceibal atender los aspectos técnicos del programa y al Banco de Previsión Social todo cuanto tenga que ver con la población objetivo. Y la entrega y capacitación en el uso de las tablets se realizará en conjunto con las asociaciones de jubilados.,,,,,,Tabaré Vásquez
Discurso,2,DD.HH.,"Constitución de un grupo de trabajo por verdad y justicia, cuyo cometido esencial será la investigación de los crímenes cometidos en el marco de la dictadura. Este grupo profundizará en el análisis de los archivos existentes y búsqueda de información relevante en la materia, organizará el registro de testimonios de víctimas o familiares sobre delitos de lesa humanidad, hará el seguimiento del cumplimiento de las sentencias dictadas contra el Estado tanto a nivel nacional como internacional y abordará otras acciones conducentes al objetivo planteado. ",,,,,,Tabaré Vásquez
Discurso,,Deporte,"Crearemos en el ámbito de la Presidencia de la República la Secretaría Nacional de Deportes. Como consecuencia de ello el actual Ministerio de Turismo y Deporte, pasará a ser Ministerio de Turismo",,,,,,Tabaré Vásquez
Discurso,,Economía,Creación del Sistema Nacional de Competitividad.,,,,,,Tabaré Vásquez
Discurso,,Economía,Llevar la inflación a un rango meta entre un 3 y 7 % y ubicándose en el eje del mismo en un plazo aproximado de 18 meses.,,,,,,Tabaré Vásquez
Discurso,7,Economía,"Remitir al Parlamento Nacional el proyecto de Ley para restituir el Impuesto de Primaria a las extensiones de tierra superiores a 300 hectáreas, dado que las condiciones que llevaron a suspender este impuesto han sido ampliamente superadas.",,,,,,Tabaré Vásquez
Discurso,7,Economía,"Se remitirá al Poder Legislativo un proyecto de ley que dispondrá que el pago del IRPF para aguinaldos y salarios se realice de manera separada al resto de las retribuciones, generando así una mejora en los salarios de los trabajadores.",,,,,,Tabaré Vásquez
Discurso,7,Economía,"Remitir un proyecto de ley para consolidar legalmente y ajustar los mecanismos de funcionamiento del Fondo de Desarrollo (FONDES), creado por decreto en el año 2011.",,,,,,Tabaré Vásquez
Discurso,5,Educación,Crear un sistema integrado para la educación básica de 3 a 14 años.,,,,,,Tabaré Vásquez
Discurso,5,Educación,Para el año 2020 el 100 % de los jóvenes de hasta 17 años esté en el sistema educativo y el 75 % termine el ciclo de enseñanza media,,,,,,Tabaré Vásquez
Discurso,2,Estado y Descentralización,"Formulación de un inventario de los bienes estatales, su estado de situación, ocupación y demás aspectos inherentes.",,,,,,Tabaré Vásquez
Discurso,1,Estado y Descentralización,Remitir al Parlamento Nacional un proyecto de ley proponiendo que el Ministerio Público y Fiscal deje de ser una unidad ejecutora del Ministerio de Educación y Cultura para pasar a ser un servicio descentralizado.,,,,,,Tabaré Vásquez
Discurso,2,Estado y Descentralización,"Convocar a un foro Uruguay 2050 a realizarse en el segundo semestre del presente año y en el que participarán representantes de la sociedad civil, desde la academia a los medios de comunicación, pasando por empresas públicas, agencias estatales, congreso de intendentes, plenario de municipios, cámaras empresariales, organizaciones gremiales, sindicales y religiosas, organizaciones no gubernamentales, etcétera.",,,,,,Tabaré Vásquez
Discurso,3,Estado y Descentralización,"En el año 2016, el 100 % de los trámites puedrán ser iniciados y seguidos mediante Internet e incluso desde los propios teléfonos celulares desde los cuales podrán hasta efectuarse los pagos correspondientes.",,,,,,Tabaré Vásquez
Discurso,7,I+D,Triplicaremos la inversión en ciencia y tecnologías de la información que alcanzará el 1 % del producto bruto interno (PIB),,,,,,Tabaré Vásquez
Discurso,4,Infraestructura y Telecomunicaciones,"Implementación del Sistema Nacional de Infraestructura con el objetivo de orientar el proceso de inversión pública y privada en el país, priorizando la recuperación, mantenimiento y desarrollo de la red carretera y ferroviaria, así como de puertos y aeropuertos.",,,,,,Tabaré Vásquez
Discurso,4,Infraestructura y Telecomunicaciones,"Inmediatamente pondremos en práctica un plan para la reparación y mantenimiento de la red vial que se encuentra deteriorada, en especial la rutas: 30, entre ruta 5 y repecho de Pena en el departamento de Artigas, la ruta 27 en el departamento de Rivera, la 12 y 55 y otras rutas, además, de los departamentos de Colonia y Soriano que hacen a la regional 7 de la Dirección de Vialidad.",,,,,,Tabaré Vásquez
Discurso,7,Medio Ambiente,"Creación de la Secretaría Nacional de Medio Ambiente, Cambio Climático y Agua.",,,,,,Tabaré Vásquez
Discurso,4,Medios de Comunicación,"Aprobación del decreto reglamentario de la Ley N.º 19.307, que regula la prestación de servicios de radio, televisión y otros servicios de comunicación audiovisual.",,,,,,Tabaré Vásquez
Discurso,4,Sistema de Cuidados,"Crear y ordenar las acciones del Sistema Nacional de Cuidados. Como toda transformación estructural, la instrumentación del Sistema de Cuidados será gradual. ",,,,,,Tabaré Vásquez
Discurso,4,Sistema de Cuidados,"En el primer año de su ejecución se invertirá en el entorno de los 45 millones de dólares y para el año 2020, cuando todas las acciones previstas estén desplegadas, el costo anual del Sistema Nacional Integrado de Cuidados será aproximadamente de 240 millones de dólares.",,,,,,Tabaré Vásquez
Discurso,5,Salud,"[Respecto al alcohol] Vamos a desarrollar acciones similares, muy fuertes, como las que desarrollamos en la lucha contra el tabaquismo.",,,,,,Tabaré Vásquez
Discurso,5,Salud,Disminución del costo de los prepagos o tiques.,,,,,,Tabaré Vásquez
Discurso,5,Salud,"Implementar el principio para que frente a una urgencia médica que requiere cualquier persona que se encuentre fuera del departamento donde resida, ella tendrá derecho a concurrir a cualquier institución pública o privada del departamento donde se encuentre para recibir la atención médica que requiera.",,,,,,Tabaré Vásquez
Discurso,5,Salud,Incorporación a la canasta de cobertura obligatoria la cirugía de vesícula por vía laparoscópica y la ecografía estructural para las madres que la tengan indicada.,,,,,,Tabaré Vásquez
Discurso,6,Salud,Propiciaremos la incorporación del Hospital de Clínicas de nuestra Facultad de Medicina al Sistema Integrado de Salud.,,,,,,Tabaré Vásquez
Discurso,5,Salud,Se completará la instauración de la historia clínica electrónica y la modalidad de interconsultas.,,,,,,Tabaré Vásquez
Discurso,3,Seguridad Ciudadana y Vial,"Creación de un Plan Nacional de Cultura Democrática y Humanista. Esta herramienta desarrollará permanentemente programas y acciones para la inclusión social y la convivencia pacífica, contra la violencia y toda forma de discriminación, así como la promoción de la cultura basada en la dignidad de la persona humana, considerada en su dimensión individual y comunitaria",,,,,,Tabaré Vásquez
Discurso,3,Seguridad,"Reducir drásticamente el delito de rapiña y se continuará con la lucha frontal al narcotráfico, al lavado de activos y a los delitos precedentes tales como la corrupción.",,,,,,Tabaré Vásquez
Discurso,6,Vivienda,Instrumentación el programa de garantía de alquileres y accesibilidad a la vivienda para los jóvenes. ,,,,,,Tabaré Vásquez
Discurso,6,Vivienda,"Integración al Ministerio de Vivienda, Ordenamiento Territorial y Medio Ambiente el Programa de Mejoramiento de Barrios y el Plan Juntos.",,,,,,Tabaré Vásquez
