Origen,Página,Tema,Propuesta,,,,,,Persona
Programa,106,Adultos_Mayores,Abrir una línea de apoyo a la habitabilidad y accesibilidad de las viviendas para las personas adultas mayores.,,,,,,Tabaré Vázquez
Programa,106,Adultos_Mayores,Instalar Centros de día para personas adultas mayores en cada municipio del país.,,,,,,Tabaré Vázquez
Discurso,,Adultos_Mayores,Instrumentaremos la entrega gratuita de tablets a los jubilados. En primer lugar los jubilados que actualmente cobran menos de $24.416 mensuales y en años sucesivos seguiremos instrumentando este plan según franja de ingreso mensual. Se encomendará al Plan Ceibal atender los aspectos técnicos del programa y al Banco de Previsión Social todo cuanto tenga que ver con la población objetivo. Y la entrega y capacitación en el uso de las tablets se realizará en conjunto con las asociaciones de jubilados.,,,,,,Tabaré Vázquez
Programa,91,Adultos_Mayores,"Modificación del sistema de aumentos a los jubilados, ya sea por franjas o por escala regresiva para atenuar de esta manera la brecha entre un pasivo y otro.",,,,,,Tabaré Vázquez
Programa,91,Adultos_Mayores,Reinstauración del aguinaldo para los jubilados y pensionistas.,,,,,,Tabaré Vázquez
Programa,91,Adultos_Mayores,"Rever la tasa de remplazo jubilatorio, elevando el porcentaje sobre el que se fijan las jubilaciones, siendo de elemental justicia social y atendiendo especialmente las necesidades de la población mayor. ",,,,,,Tabaré Vázquez
Programa,54,Agua y Saneamiento,"Se avanzará en la construcción de las nuevas reservas y fuentes alternativas de agua en el mediano plazo, en particular en la zona costera del sur y este del País. Se dará especial prioridad para asegurar la reserva de agua a la población de Montevideo y su área Metropolitana.",,,,,,Tabaré Vázquez
Programa,55,Agua y Saneamiento,"Completar los proyectos y la construcción de Plantas de Tratamiento de aguas residuales en todas las capitales departamentales y ciudades con más habitantes, continuando con una política agresiva de conexión al saneamiento.",,,,,,Tabaré Vázquez
Programa,54,Agua y Saneamiento,La tarifa será de aplicación única en todo el territorio.,,,,,,Tabaré Vázquez
Programa,53,Agua y Saneamiento,"Reforzar los recursos técnicos y presupuestales para aumentar sustancialmente la cobertura de saneamiento en el Interior del País. En particular continuar los trabajos para completar y extender el sistema de saneamiento de Ciudad de la Costa, el Sistema de Ruta 5 (Las Piedras, la Paz, Progreso) y en la Ciudad del Plata, en el Área Metropolitana.",,,,,,Tabaré Vázquez
Programa,54,Agua y Saneamiento,"Se continuará con el proceso de regularización de redes de agua potable en Asentamientos. Para ello, se dará especial prioridad al área Metropolitana de Montevideo.",,,,,,Tabaré Vázquez
Programa,55,Agua y Saneamiento,Se deberá acelerar el proceso de conformación y funcionamiento pleno de los Comités de Cuenca previstos por la Constitución.,,,,,,Tabaré Vázquez
